GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test,com.credibanco.mstest.util,Util,80,7,2,0,13,2,5,1,4,1
Test,com.credibanco.mstest.services.impl,CardServicesImpl,0,73,0,0,0,12,0,6,0,6
Test,com.credibanco.mstest.services.impl,ProductServicesImpl,0,18,0,0,0,4,0,3,0,3
Test,com.credibanco.mstest.services.impl,TransactionServicesImpl,0,35,0,0,0,8,0,4,0,4
Test,com.credibanco.mstest.exceptions,BadRequestException,9,4,0,0,4,2,2,1,2,1
Test,com.credibanco.mstest.exceptions,BadRequestHandler,14,0,0,0,3,0,2,0,2,0
Test,com.credibanco.mstest,TestApplication,8,0,0,0,3,0,2,0,2,0
Test,com.credibanco.mstest.applications,BusinessApplication,116,451,11,37,20,87,8,25,0,9
Test,com.credibanco.mstest.controllers,AppController,61,0,0,0,9,0,9,0,9,0
Test,com.credibanco.mstest.entities,Clients,32,24,0,0,5,3,9,3,9,3
Test,com.credibanco.mstest.entities,Product,29,37,0,0,3,6,8,6,8,6
Test,com.credibanco.mstest.entities,Card,28,48,0,0,4,6,8,8,8,8
Test,com.credibanco.mstest.entities,Transaction,0,56,0,0,0,8,0,12,0,12
Test,com.credibanco.mstest.configurations,SwaggerConfiguration,104,0,0,0,24,0,4,0,4,0
Test,com.credibanco.mstest.configurations,SwaggerProperties,181,0,0,0,18,0,30,0,30,0
Test,com.credibanco.mstest.dtos,CardDTO,19,27,0,0,9,5,5,5,5,5
Test,com.credibanco.mstest.dtos,ResponseDTO,15,21,0,0,8,8,4,4,4,4
